"Category"	"p"	"Correlation"	"DB"	"Cat"	"Journals"	"Docs"	"Indicator"
"NURSING - SSCI"	5.9062270558481e-40	0.876738864912357	"SSCI"	"NURSING"	122	10334	"2020 JIF"
"NURSING - SCIE"	3.91545269440389e-40	0.874426725728118	"SCIE"	"NURSING"	124	10423	"2020 JIF"
"ONCOLOGY - SCIE"	2.02685070205265e-279	0.997611662639929	"SCIE"	"ONCOLOGY"	241	49344	"2020 JIF"
"NUTRITION & DIETETICS - SCIE"	2.46455507751622e-22	0.817699615554764	"SCIE"	"NUTRITION & DIETETICS"	88	15251	"2020 JIF"
"OBSTETRICS & GYNECOLOGY - SCIE"	1.71456586080036e-39	0.939681006777958	"SCIE"	"OBSTETRICS & GYNECOLOGY"	83	14297	"2020 JIF"
"OCEANOGRAPHY - SCIE"	1.00372220331112e-22	0.88917343904905	"SCIE"	"OCEANOGRAPHY"	64	9197	"2020 JIF"
"OPTICS - SCIE"	5.63776238507694e-48	0.942530608125188	"SCIE"	"OPTICS"	99	29624	"2020 JIF"
"OPHTHALMOLOGY - SCIE"	5.96663575250942e-28	0.931023259857669	"SCIE"	"OPHTHALMOLOGY"	62	10598	"2020 JIF"
"OPERATIONS RESEARCH & MANAGEMENT SCIENCE - SCIE"	3.01107141681329e-33	0.910796291421592	"SCIE"	"OPERATIONS RESEARCH & MANAGEMENT SCIENCE"	84	12491	"2020 JIF"
"ORTHOPEDICS - SCIE"	1.13413746325379e-41	0.948430167021391	"SCIE"	"ORTHOPEDICS"	82	15020	"2020 JIF"
"ORNITHOLOGY - SCIE"	8.66747683726405e-16	0.959234894527064	"SCIE"	"ORNITHOLOGY"	28	1156	"2020 JIF"
"PERIPHERAL VASCULAR DISEASE - SCIE"	5.89438072173053e-50	0.985178696673003	"SCIE"	"PERIPHERAL VASCULAR DISEASE"	65	9734	"2020 JIF"
"PEDIATRICS - SCIE"	1.69961856287013e-72	0.960624353166331	"SCIE"	"PEDIATRICS"	129	19455	"2020 JIF"
"PARASITOLOGY - SCIE"	1.41127128291299e-21	0.96044367768523	"SCIE"	"PARASITOLOGY"	38	6358	"2020 JIF"
"PATHOLOGY - SCIE"	5.09240884598567e-36	0.937104280125709	"SCIE"	"PATHOLOGY"	77	7551	"2020 JIF"
"OTORHINOLARYNGOLOGY - SCIE"	2.77607305661477e-20	0.933237727511552	"SCIE"	"OTORHINOLARYNGOLOGY"	44	7368	"2020 JIF"
"PALEONTOLOGY - SCIE"	3.95128642505773e-19	0.887477093061051	"SCIE"	"PALEONTOLOGY"	54	3190	"2020 JIF"
"PHARMACOLOGY & PHARMACY - SCIE"	3.90122368080293e-142	0.951366117670667	"SCIE"	"PHARMACOLOGY & PHARMACY"	276	45294	"2020 JIF"
"PHYSICS, APPLIED - SCIE"	1.50887308067285e-56	0.892629522193965	"SCIE"	"PHYSICS, APPLIED"	160	84364	"2020 JIF"
"PHYSICS, MULTIDISCIPLINARY - SCIE"	9.7572372676208e-34	0.909329386436932	"SCIE"	"PHYSICS, MULTIDISCIPLINARY"	86	24006	"2020 JIF"
"PHYSICS, CONDENSED MATTER - SCIE"	3.31267875025168e-26	0.90249482126203	"SCIE"	"PHYSICS, CONDENSED MATTER"	69	37873	"2020 JIF"
"PHYSICS, ATOMIC, MOLECULAR & CHEMICAL - SCIE"	4.01134643613917e-09	0.795550117366269	"SCIE"	"PHYSICS, ATOMIC, MOLECULAR & CHEMICAL"	37	18360	"2020 JIF"
"PHYSICS, PARTICLES & FIELDS - SCIE"	5.08644575482605e-12	0.912985650297061	"SCIE"	"PHYSICS, PARTICLES & FIELDS"	29	13681	"2020 JIF"
"PHYSICS, MATHEMATICAL - SCIE"	1.81776424200623e-20	0.897305712607809	"SCIE"	"PHYSICS, MATHEMATICAL"	55	11850	"2020 JIF"
"PHYSICS, FLUIDS & PLASMAS - SCIE"	5.00029084814912e-06	0.69540099323248	"SCIE"	"PHYSICS, FLUIDS & PLASMAS"	34	9986	"2020 JIF"
"PHYSICS, NUCLEAR - SCIE"	1.76087703316971e-06	0.864952909862686	"SCIE"	"PHYSICS, NUCLEAR"	19	5699	"2020 JIF"
"PHYSIOLOGY - SCIE"	1.47811275633881e-25	0.866538642336475	"SCIE"	"PHYSIOLOGY"	81	10964	"2020 JIF"
"BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE"	9.43481678699514e-77	0.942715292842889	"SCIE"	"BIOTECHNOLOGY & APPLIED MICROBIOLOGY"	159	27735	"2020 JIF"
"BUSINESS - SSCI"	8.50973807867972e-67	0.928381746088342	"SSCI"	"BUSINESS"	153	12017	"2020 JIF"
